레포지토리,태그,릴리스명,생성일,배포일,생성일(ISO),배포일(ISO),배포년도,배포월,배포일,요일(0-6),주말여부,초안여부,프리릴리스여부,릴리스노트 길이,릴리스노트 존재여부,생성일로부터 배포까지 일수
daangn/stackflow,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,5/29/2025,5/29/2025,2025-05-29T08:08:55.000Z,2025-05-29T08:08:59.000Z,2025,5,29,4,false,false,false,100,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,5/29/2025,5/29/2025,2025-05-29T08:08:55.000Z,2025-05-29T08:08:56.000Z,2025,5,29,4,false,false,false,148,true,0
daangn/stackflow,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,5/15/2025,5/15/2025,2025-05-15T09:07:58.000Z,2025-05-15T09:08:02.000Z,2025,5,15,4,false,false,false,85,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,5/15/2025,5/15/2025,2025-05-15T09:07:58.000Z,2025-05-15T09:07:59.000Z,2025,5,15,4,false,false,false,196,true,0
daangn/stackflow,@stackflow/react@1.5.2,@stackflow/react@1.5.2,5/12/2025,5/12/2025,2025-05-12T07:52:16.000Z,2025-05-12T07:52:17.000Z,2025,5,12,1,false,false,false,71,true,0
daangn/stackflow,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,4/9/2025,4/9/2025,2025-04-09T10:08:18.000Z,2025-04-09T10:08:22.000Z,2025,4,9,3,false,false,false,120,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,4/9/2025,4/9/2025,2025-04-09T10:08:18.000Z,2025-04-09T10:08:19.000Z,2025,4,9,3,false,false,false,214,true,0
daangn/stackflow,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,3/27/2025,3/27/2025,2025-03-27T06:55:21.000Z,2025-03-27T06:55:24.000Z,2025,3,27,4,false,false,false,76,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,3/27/2025,3/27/2025,2025-03-27T06:55:21.000Z,2025-03-27T06:55:22.000Z,2025,3,27,4,false,false,false,150,true,0
daangn/stackflow,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,3/14/2025,3/14/2025,2025-03-14T06:58:30.000Z,2025-03-14T06:58:35.000Z,2025,3,14,5,false,false,false,109,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.13.0,@stackflow/plugin-basic-ui@1.13.0,3/14/2025,3/14/2025,2025-03-14T06:58:30.000Z,2025-03-14T06:58:32.000Z,2025,3,14,5,false,false,false,354,true,0
daangn/stackflow,@stackflow/react@1.5.1,@stackflow/react@1.5.1,2/24/2025,2/24/2025,2025-02-24T11:45:05.000Z,2025-02-24T11:45:06.000Z,2025,2,24,1,false,false,false,99,true,0
daangn/stackflow,@stackflow/react@1.5.0,@stackflow/react@1.5.0,2/14/2025,2/14/2025,2025-02-14T02:06:53.000Z,2025-02-14T02:06:57.000Z,2025,2,14,5,false,false,false,434,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.12.0,@stackflow/plugin-basic-ui@1.12.0,2/14/2025,2/14/2025,2025-02-14T02:06:53.000Z,2025-02-14T02:07:00.000Z,2025,2,14,5,false,false,false,267,true,0
daangn/stackflow,@stackflow/core@1.2.0,@stackflow/core@1.2.0,2/14/2025,2/14/2025,2025-02-14T02:06:53.000Z,2025-02-14T02:06:54.000Z,2025,2,14,5,false,false,false,235,true,0
daangn/stackflow,@stackflow/react@1.4.2,@stackflow/react@1.4.2,1/22/2025,1/22/2025,2025-01-22T12:13:06.000Z,2025-01-22T12:13:17.000Z,2025,1,22,3,false,false,false,103,true,0
